,Signal Bandwidth [THz],Width Iron [nm],Width Platinum [nm],Laser Pulse Time [fs]
1,{:.2f},3,2,30
2,{:.2f},2,3,30
3,{:.2f},4,2,30
4,{:.2f},6,2,30
5,{:.2f},5,2,30
6,{:.2f},2,6,30
7,{:.2f},2,4,30
8,{:.2f},3,3,30
9,{:.2f},2,5,30
10,{:.2f},3,6,30
11,{:.2f},4,3,30
12,{:.2f},3,4,30
13,{:.2f},5,3,30
14,{:.2f},6,3,30
15,{:.2f},3,5,30
16,{:.2f},4,6,30
17,{:.2f},4,4,30
18,{:.2f},4,5,30
19,{:.2f},6,6,30
20,{:.2f},5,6,30
21,{:.2f},5,4,30
22,{:.2f},6,4,30
23,{:.2f},5,5,30
24,{:.2f},6,5,30
25,{:.2f},2,3,60
26,{:.2f},3,2,60
27,{:.2f},2,4,60
28,{:.2f},3,3,60
29,{:.2f},2,5,60
30,{:.2f},4,2,60
31,{:.2f},5,2,60
32,{:.2f},3,4,60
33,{:.2f},2,6,60
34,{:.2f},4,3,60
35,{:.2f},6,2,60
36,{:.2f},5,3,60
37,{:.2f},3,5,60
38,{:.2f},6,3,60
39,{:.2f},3,6,60
40,{:.2f},4,4,60
41,{:.2f},4,5,60
42,{:.2f},5,4,60
43,{:.2f},6,4,60
44,{:.2f},4,6,60
45,{:.2f},5,6,60
46,{:.2f},5,5,60
47,{:.2f},6,5,60
48,{:.2f},6,6,60
49,{:.2f},2,3,100
50,{:.2f},2,4,100
51,{:.2f},2,5,100
52,{:.2f},2,6,100
53,{:.2f},3,4,100
54,{:.2f},3,2,100
55,{:.2f},3,3,100
56,{:.2f},3,5,100
57,{:.2f},4,3,100
58,{:.2f},3,6,100
59,{:.2f},4,2,100
60,{:.2f},4,5,100
61,{:.2f},6,2,100
62,{:.2f},5,2,100
63,{:.2f},4,4,100
64,{:.2f},5,3,100
65,{:.2f},4,6,100
66,{:.2f},5,5,100
67,{:.2f},6,3,100
68,{:.2f},6,4,100
69,{:.2f},5,4,100
70,{:.2f},6,5,100
71,{:.2f},6,6,100
72,{:.2f},5,6,100
